Character Number	State Number	SimJ Partial Recall
1	0	0.05871886121
1	1	0.05871886121
1	2	0.160194174758
2	0	0.180722891566
2	1	0.147444116669
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.394952305511
6	1	0.669877311124
6	2	0.273660796049
6	3	0.141379310345
6	4	0.165322580645
7	0	0.12
7	1	0.0
8	0	0.0667847204656
8	1	0.0416666666667
9	0	0.170731707317
9	1	0.142857142857
10	0	0.0
10	1	0.193103448276
10	2	0.0
11	0	0.145454545455
11	1	0.193732826895
12	0	0.041095890411
12	1	0.0555555555556
13	0	0.142857142857
13	1	0.0
14	0	0.00120059397807
14	1	0.451154013645
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.0
19	1	0.0
19	2	0.12987012987
20	0	0.443956496149
20	1	0.00599895078264
21	0	0.0
21	1	0.131118881119
22	0	0.738461538462
22	1	0.547945205479
23	0	0.0232558139535
23	1	0.03125
24	0	0.0450958286359
24	1	0.0570125427594
25	0	0.524590163934
25	1	0.524590163934
26	0	0.14848143982
26	1	0.625
27	0	0.0
27	1	0.0
28	0	0.0677083333333
28	1	0.0680628272251
29	0	0.291666666667
29	1	0.25
30	0	0.00397986655742
30	1	0.00397986655742
31	0	0.0
31	1	0.0108695652174
32	0	0.527777777778
32	1	0.527777777778
33	0	0.530532724505
33	1	0.609811565951
33	2	0.0
33	3	0.714285714286
33	4	1.0
34	0	0.0
34	1	0.00191570465512
34	2	0.00214166318429
34	3	0.00197223777921
35	0	0.152777777778
35	1	0.152777777778
36	0	0.0
36	1	0.231832519018
37	0	0.272727272727
37	1	0.818181818182
38	0	0.0
38	1	0.0
38	2	0.451612903226
39	0	0.125
39	1	0.0149253731343
39	2	0.0275229357798
39	3	0.0250396633786
40	0	0.00294382206231
40	1	0.461538461538
40	2	0.00294382206231
41	0	0.0316742081448
41	1	0.130175836642
42	0	0.008356545961
42	1	0.0196078431373
42	2	0.008356545961
43	0	0.0
43	1	0.00397851601353
43	2	0.00397851601353
44	0	0.075900348522
44	1	0.0967105263158
45	0	0.555555555556
45	1	0.909090909091
46	0	0.00454545454545
46	1	0.0562248995984
47	0	0.00261054005547
47	1	0.00304984421396
48	0	0.0
48	1	0.329329482613
48	2	0.592178605313
49	0	0.11320754717
49	1	0.156862745098
50	0	0.5
50	1	0.375
51	0	0.193069306931
51	1	0.0379008746356
51	2	0.282608695652
52	0	0.0526315789474
52	1	0.0714285714286
53	0	0.0983606557377
53	1	0.00276243093923
54	0	0.46875
54	1	0.46875
55	0	0.0
55	1	0.651162790698
55	2	1.0
56	0	0.160714285714
56	1	0.160714285714
57	0	0.918918918919
57	1	0.0875
58	0	0.12
58	1	0.12
59	0	0.000473709142586
59	1	0.000710732054016
60	0	0.46875
60	1	0.096
61	0	0.941176470588
61	1	0.941176470588
62	0	0.0025466893039
62	1	0.0025466893039
63	0	1.0
63	1	0.504939122444
64	0	0.00100976102322
64	1	0.00100976102322
65	0	0.542553191489
65	1	0.698630136986
65	2	0.689189189189
65	3	0.0
66	0	0.179487179487
66	1	0.179487179487
67	0	0.00224712543046
67	1	0.00224712543046
68	0	0.286103542234
68	1	0.421686746988
69	0	0.0383480825959
69	1	0.0383480825959
70	0	0.263157894737
70	1	0.134179087917
70	2	0.132761811819
70	3	0.0
71	0	0.0689655172414
71	1	0.0527137159701
71	2	0.20420627587
72	0	0.0143540669856
72	1	0.0192307692308
73	0	0.378787878788
73	1	0.363636363636
74	0	0.666666666667
74	1	0.666666666667
75	0	0.542650918635
75	1	0.632882882882
76	0	0.0199625701809
76	1	0.0199625701809
77	0	0.311475409836
77	1	0.269831932773
78	0	1.0
78	1	1.0
79	0	0.426470588235
79	1	0.426470588235
80	0	1.0
80	1	1.0
81	0	0.173210161663
81	1	0.245098039216
82	0	0.649730259677
82	1	0.340732662569
82	2	0.504155946962
83	0	0.0
83	1	0.0
84	0	1.0
84	1	1.0
85	0	0.0262203762021
85	1	0.0464975377948
85	2	1.0
86	0	0.0144927536232
86	1	0.0144927536232
87	0	0.153846153846
87	1	0.153846153846
88	0	1.0
88	1	1.0
89	0	0.283582089552
89	1	0.283582089552
90	0	0.335664335664
90	1	0.328671328671
91	0	0.00033383408446
91	1	0.201728363214
92	0	0.428581786986
92	1	0.142566800296
93	0	1.0
93	1	1.0
94	0	0.00887648998225
94	1	0.00887648998225
94	2	0.0
95	0	0.0232558139535
95	1	0.0234375
96	0	0.0
96	1	0.0
97	0	0.0882352941176
97	1	0.121212121212
98	0	0.0
98	1	0.0
98	2	0.101321585903
99	0	0.652173913043
99	1	0.652173913043
100	0	0.655913978495
100	1	0.0
101	0	0.246753246753
101	1	0.246753246753
102	0	0.0121956531208
102	1	0.0196001568013
102	2	1.0
103	0	0.0
103	1	0.0
104	0	1.0
104	1	0.75
105	0	0.0
105	1	0.0
106	0	0.272727272727
106	1	0.4
107	0	0.324324324324
107	1	0.218181818182
108	0	0.0
108	1	0.681818181818
109	0	0.473684210526
109	1	0.473684210526
110	0	0.41935483871
110	1	0.41935483871
110	2	0.0459363957597
111	0	0.00249825489548
111	1	0.0118405014801
112	0	0.195173383318
112	1	0.0
113	0	0.0
113	1	0.0
114	0	0.0
114	1	0.0
115	0	0.43349959279
115	1	0.352130977131
115	2	0.660108024691
115	3	0.613333333333
116	0	0.000727764204398
116	1	0.000727726374883
117	0	0.0690978886756
117	1	0.0703125
118	0	0.0
118	1	0.0
119	0	0.0967741935484
119	1	0.133333333333
120	0	0.587628865979
120	1	0.384269662921
121	0	0.632352941176
121	1	0.0
122	0	0.0941704035874
122	1	0.12962962963
123	0	0.0221402214022
123	1	0.00640683395622
124	0	0.0404721753794
124	1	0.0945945945946
125	0	3.6025650263e-05
125	1	0.00396517976596
125	2	0.0
126	0	0.0
126	1	0.0
127	0	0.0101965420423
127	1	0.662227401365
127	2	0.11004784689
128	0	0.0
128	1	0.0
129	0	0.364579331541
129	1	0.561170212766
130	0	0.00520833333333
130	1	0.0
131	0	0.00225370251127
131	1	0.00184923624189
132	0	0.589285714286
132	1	0.201680672269
133	0	0.122249388753
133	1	0.122249388753
134	0	0.733333333333
134	1	0.733333333333
134	2	0.964912280702
135	0	0.689655172414
135	1	0.689655172414
136	0	0.181818181818
136	1	0.181818181818
137	0	1.0
137	1	1.0
137	2	0.0
138	0	0.55421686747
138	1	0.55421686747
139	0	0.0413533834586
139	1	0.0411985018727
140	0	0.0
140	1	0.0
141	0	0.0496453900709
141	1	0.0486891385768
142	0	0.037037037037
142	1	0.037037037037
142	2	0.037037037037
143	0	0.134146341463
143	1	0.134146341463
144	0	0.485714285714
144	1	0.485714285714
145	0	0.372881355932
145	1	0.372881355932
145	2	0.0
145	3	0.372881355932
146	0	0.11214953271
146	1	0.111888111888
147	0	0.146666666667
147	1	0.146666666667
148	0	0.0326086956522
148	1	0.0108108108108
148	2	0.0163043478261
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.0275229357798
151	1	0.037037037037
152	0	0.0
152	1	0.0
153	0	0.944444444444
153	1	0.944444444444
154	0	0.328947368421
154	1	0.328947368421
155	0	0.288732394366
155	1	0.284158047146
156	0	0.977777777778
156	1	0.977777777778
157	0	1.0
157	1	1.0
158	0	0.126050420168
158	1	0.175438596491
159	0	0.00404312668464
159	1	0.00404494382022
160	0	0.0221402214022
160	1	0.00640683395622
161	0	0.0327868852459
161	1	0.2
162	0	1.0
162	1	1.0
163	0	0.182926829268
163	1	0.182926829268
164	0	0.0110159118727
164	1	0.0110154624454
165	0	0.0631568337301
165	1	0.0637037037037
166	0	0.338983050847
166	1	0.0
166	2	0.0
167	0	0.0
167	1	0.0
168	0	0.0541516245487
168	1	0.0
169	0	0.0949720670391
169	1	0.0
170	0	0.0
170	1	0.714285714286
170	2	0.714285714286
171	0	0.246575342466
171	1	0.174193548387
172	0	0.0
172	1	0.0
173	0	1.0
173	1	1.0
174	0	1.0
174	1	1.0
175	0	0.0657534246575
175	1	0.0792079207921
176	0	0.238095238095
176	1	0.238095238095
177	0	0.0
177	1	0.0
178	0	0.285714285714
178	1	0.285714285714
179	0	0.0434782608696
179	1	0.0434782608696
180	0	0.928571428571
180	1	0.928571428571
180	2	0.928571428571
181	0	0.0
181	1	0.00813008130081
181	2	0.551470588235
182	0	0.793650793651
182	1	0.0192307692308
182	2	0.0
183	0	0.114695340502
183	1	0.249370277078
184	0	1.0
184	1	1.0
184	2	1.0
184	3	0.0
185	0	8.49762066621e-05
185	1	8.49762066621e-05
186	0	0.351063829787
186	1	0.916666666667
186	2	0.916666666667
186	3	0.40243902439
187	0	0.0
187	1	0.0
188	0	1.0
188	1	0.296892980437
188	2	0.424342105263
189	0	0.00778868946834
189	1	0.956738768719
190	0	0.041095890411
190	1	0.0510395010395
190	2	0.0127013556139
191	0	0.0589141316904
191	1	0.0801282051282
192	0	0.0203139427516
192	1	0.0433070866142
193	0	0.228070175439
193	1	0.228070175439
194	0	0.538461538462
194	1	0.35593220339
195	0	1.0
195	1	1.0
196	0	0.372451552482
196	1	0.00116070836373
196	2	0.595628415301
197	0	0.178571428571
197	1	0.253164556962
198	0	0.0656934306569
198	1	0.0709219858156
199	0	0.0434782608696
199	1	0.0434782608696
200	0	0.0
